name,player_id,discord_id,ar_basics,ar_pro,at_basics,cmd_basics,parkour,at_pro,recon_basics,sl_basics,tactic_basics,infantry_basics,tank_basics,mg_basics,at_basics
Tripø,acdee5ca1ca55aa68661dfd766bfc50c,297503234631794698,0,0,0,0,0,0,0,0,0,0,0,0,0
SizeR,76561198068817605,429161626898530334,0,0,0,0,0,0,0,0,0,0,0,0,0
ogmo,7a4a511fc8cb08c5a18c453101d6956d,384719427393945610,0,0,0,0,0,0,0,0,0,0,0,0,0
NeOnJedeHELL,76561198016257516,895773165333147728,0,0,0,0,0,0,0,0,0,0,0,0,0
Bratr,76561199563759100,691925847216488449,0,0,0,0,0,0,0,0,0,0,0,0,0
mIKI,76561197984721877,333623994098122755,0,0,0,0,0,0,0,0,0,0,0,0,0
varinak,76561198317059331,619407422410457099,0,0,0,0,0,0,0,0,0,0,0,0,0
NoLiferツ,abe09021f0bd6427056423a0389ca819,449279986646515723,0,0,0,0,0,0,0,0,0,0,0,0,0
KW,76561197983950176,718782911712854046,0,0,0,0,0,0,0,0,0,0,0,0,0
von_Karl,76561198040714988,770723873997717574,0,0,0,0,0,0,0,0,0,0,0,0,0
Bille_PTP,76561198109723924,818210983155335218,0,0,0,0,0,0,0,0,0,0,0,0,0
RudysCze88,8747669e913afa431c7128f73bfa5123,821404922863812610,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolf_LeBots,76561198111582026,350976341300084746,0,0,0,0,0,0,0,0,0,0,0,0,0
Vintag,76561198087927327,274452594750128128,0,0,0,0,0,0,0,0,0,0,0,0,0
MichaelWald,7b7852142495926043c92a3359a33719,610190492705226752,0,0,0,0,0,0,0,0,0,0,0,0,0
WexxAr,76561198060252554,348153535147540480,0,0,0,0,0,0,0,0,0,0,0,0,0
Martomor,76561198117392128,460865741386940430,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominik,76561198060687940,643506541160431638,0,0,0,0,0,0,0,0,0,0,0,0,0
drakobiec,76561198049514800,354954896463757315,0,0,0,0,0,0,0,0,0,0,0,0,0
Plzenak,76561198015830221,322659720861319179,0,0,0,0,0,0,0,0,0,0,0,0,0
ŘíZeK1S,76561198279165306,963121583499649025,0,0,0,0,0,0,0,0,0,0,0,0,0
Majkl94CZE,76561198037163503,678540569391398932,0,0,0,0,0,0,0,0,0,0,0,0,0
Macaratek,76561199344879603,516750936425758721,1,0,0,0,0,0,0,1,0,0,0,1,0
ULTIMATE,76561198081445183,244503266405253120,1,0,0,0,0,0,0,0,0,0,0,0,0
TommikS,38000bd3d71775befcc73762fc9a42ab,1294005881780047936,0,0,0,0,0,0,0,0,0,0,0,0,0
ZUGY-CZ,76561198819786524,1014802758437711933,0,0,0,0,0,0,0,0,0,0,0,0,0
WranisDE,c1460f00ed334d2aab18e26f12987cb0,691567128268243027,0,0,0,0,0,0,0,0,0,0,0,0,0
Lettlify,76561198353392987,215506335523930113,1,0,0,0,0,0,0,1,0,0,1,0,0
Chromalife,76561198119489279,529275172906205184,0,0,0,0,0,0,0,1,0,0,0,0,0
GhostmanTA3,97470b7c58452d7ad2f27a1b262442c5,921958489255977040,1,0,0,0,0,0,0,1,0,0,0,1,0
JoshiCZ666,27d61d2b91384f3c850cb62c7f91bb62,393110382257897493,0,0,0,0,0,0,0,0,0,0,0,0,0
☣-Thums-☣™,76561198034832038,495258228607680522,0,0,0,0,0,0,0,0,0,0,0,0,0
MetYou,76561198192226489,693007993029001266,0,0,0,0,0,0,0,0,0,0,0,0,0
Tommino,76561198183772366,406776765965664266,0,0,0,0,0,0,0,0,0,0,0,0,0
KELLY_,76561198241875222,759123458310275073,0,0,0,0,0,0,0,0,0,0,0,0,0
PemiK,76561198028703277,364148436557365249,0,0,0,0,0,0,0,0,0,0,0,0,0
Pavlos97,76561198198438619,353248737914519552,0,0,0,0,0,0,0,0,0,0,0,0,0
ALSAD,76561198102846217,443894223507423252,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryhar67,76561199107218738,762373301850210324,0,0,0,0,1,0,1,0,0,0,0,0,0
DesertFox19,0a1bd224785b1ce890cd2969e7e0cec4,243490533958352907,0,0,0,0,0,0,0,0,0,0,0,0,0
LuBoss,76561198167475417,1087705991723884554,0,0,0,0,0,0,0,0,0,0,0,0,0
BOREC,76561198167785308,348540374941171723,0,0,0,0,1,0,0,0,0,0,0,0,0
yoss,76561198201034228,741611748745936977,0,0,0,0,0,0,0,0,0,0,0,0,0
warliscami,76561198285877816,464733657320390657,0,0,0,0,0,0,0,0,0,0,0,0,0
Hopity CZ,76561199012130530,958297568427794432,0,0,0,0,0,0,0,0,0,0,0,0,0
Kardy,76561198095282967,260808473636241408,0,0,0,0,0,0,0,0,0,0,0,0,0
Ketchupikz,76561198007739785,175355264864747521,0,0,0,0,0,0,0,0,0,0,0,0,0
pištaCZ,76561198003640286,621758180489166868,0,0,0,0,0,0,0,0,0,0,0,0,0
Rennee77,76561198042428372,1310247067163295774,0,0,0,0,0,0,0,0,0,0,0,0,0
CT-7567,76561199035697340,847469811683688468,0,0,0,0,0,0,0,0,0,0,0,0,0
HellfuhRer,76561198021565312,423219613682237441,0,0,0,0,0,0,0,0,0,0,0,0,0
chosé1337,5952ef38cc5efc94bb8f6127e23ae2be,311608593315135490,0,0,0,0,1,0,0,1,0,0,1,1,0
LoreMaster,76561198112267708,493121329227235339,0,0,0,0,0,0,0,0,0,0,0,0,0
Annchee,76561198255911901,215886782422581248,1,0,0,0,0,0,0,1,0,0,0,1,0
pesoxiik,76561198448966031,263745827355361282,0,0,0,0,0,0,0,0,0,0,0,0,0
rockNrollBombing,76561198038671271,745765874463408218,0,0,0,0,0,0,0,0,0,0,0,0,0
MORE,76561198415033378,924041557596831796,0,0,0,0,0,0,0,0,0,0,0,0,0
